date,open,high,low,close
1638536400000,56869.60000000,58801.00000000,15000.00000000,56860.01000000
1638540000000,56863.20000000,56926.68000000,25172.90000000,56239.13000000
1638543600000,56193.15000000,56346.63000000,34727.40000000,55980.14000000
1638547200000,55965.90000000,55965.91000000,22643.66000000,54979.99000000
1638550800000,54990.24000000,55080.18000000,43000.80000000,54981.54000000
1638554400000,54982.31000000,55144.85000000,40503.84000000,54853.42000000
1638558000000,54877.82000000,54899.99000000,31286.04000000,53838.27000000
1638561600000,53828.59000000,54445.76000000,44793.64000000,53445.00000000
1638565200000,53442.67000000,56371.87000000,34991.28000000,53618.37000000
1638568800000,53585.12000000,53721.18000000,32716.85000000,53427.69000000
1638572400000,53409.48000000,57128.51000000,23692.20000000,53644.34000000
1638576000000,53601.78000000,58024.38000000,23692.20000000,53056.06000000
1638579600000,53038.53000000,53197.32000000,52607.17000000,52974.75000000
1638583200000,52982.51000000,53115.71000000,20000.00000000,53107.22000000
1638586800000,53107.22000000,53120.00000000,51200.00000000,52028.05000000
1638590400000,52000.01000000,52604.88000000,49227.12000000,50222.72000000
1638594000000,50250.89000000,50460.55000000,42225.01000000,47520.61000000
1638597600000,47492.59000000,47992.73000000,46659.97000000,47504.01000000
1638601200000,47480.01000000,47578.39000000,30066.00000000,47241.93000000
1638604800000,47235.05000000,49174.20000000,46564.00000000,47502.92000000
1638608400000,47488.00000000,47805.46000000,46063.46000000,47476.01000000
1638612000000,47475.50000000,47805.46000000,46779.47000000,47365.82000000
1638615600000,47360.47000000,47805.46000000,40000.00000000,46502.93000000
1638619200000,46491.90000000,58799.53000000,38250.71000000,47054.41000000
1638622800000,47053.33000000,58799.53000000,46002.78000000,47384.17000000
1638626400000,47350.00000000,58799.53000000,41889.73000000,47828.82000000
1638630000000,47821.06000000,100000.00000000,38000.00000000,48226.35000000
1638633600000,48200.16000000,120000.00000000,44664.08000000,47834.20000000
1638637200000,47840.57000000,120000.00000000,47734.54000000,48264.59000000
1638640800000,48235.67000000,78435.25000000,46170.66000000,48836.64000000
1638644400000,48836.64000000,63000.01000000,45337.74000000,49250.02000000
1638648000000,49250.02000000,49479.02000000,43307.58000000,49251.67000000
1638651600000,49256.32000000,49345.67000000,45354.31000000,48694.63000000
1638655200000,48698.69000000,49284.33000000,48463.24000000,49205.64000000
1638658800000,49207.85000000,63000.01000000,45499.55000000,49168.00000000
1638662400000,49163.08000000,63000.01000000,36487.11000000,48947.69000000
1638666000000,48884.84000000,60300.01000000,48656.04000000,49017.90000000
1638669600000,49022.70000000,57600.01000000,38137.41000000,49063.02000000
1638673200000,49052.69000000,57114.67000000,38137.41000000,49174.78000000
1638676800000,49170.79000000,56137.00000000,48789.04000000,48948.99000000
1638680400000,48948.98000000,49713.38000000,48053.53000000,49424.01000000
1638684000000,49424.01000000,62915.00000000,38137.41000000,49465.19000000
1638687600000,49463.90000000,49666.39000000,49200.00000000,49285.00000000
